"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Brogues']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/11/P00806769.jpg,Valentino Garavani,Leather Oxford shoes,€ 825,,,P00806769,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Valentino Garavani's polished approach to formalwear is spotlighted by these Oxford shoes. Made of polished calfskin, this round-toe design features lace-up vamps and thick leather soles, ensuring both style and durability.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/11/P00806769_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/b2/P00734282.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/35/P00675777.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/19/P00768729.jpg']"
"['Men', 'Designers', 'Brunello Cucinelli', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/8a/P00830248.jpg,Brunello Cucinelli,Suede Chelsea boots,€ 835,,,P00830248,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Each Brunello Cucinelli design is handmade in Solomeo, a medieval hamlet whose art and traditions are woven into the house's every fiber. These Chelsea boots are crafted from refined suede with rubber soles and elasticated sides.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/8a/P00830248_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/37/P00830308.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/a3/P00830201.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/c6/P00830444.jpg']"
"['Men', 'Designers', 'Acne Studios', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/1c/P00831086.jpg,Acne Studios,Leather Derby shoes,€ 525,,,P00831086,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Acne Studios brings an unexpected touch to these Derby shoes with a subtle bump finish detailing at the rounded toe. The lace-up style is crafted from glossy black leather and pairs easily with any outfit.,[]
"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3b/P00817539.jpg,Tom Ford,Camouflage suede slides,€ 499,,,P00817539,"['UK_ 6 / EU 39', 'UK_ 7 / EU 40', 'UK_ 8 / EU 41', 'UK_ 9 / EU 42', 'UK_ 10 / EU 43', 'UK_ 11 / EU 44', 'UK_ 12 / EU 45', 'UK_ 13 / EU 46', 'UK_ 14 / EU 47']","Slip into the relaxed sophistication of Tom Ford with these black and khaki green slides. The wide camouflage suede vamps are perforated with ""TF"" motifs and rest on molded rubber soles.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/42/P00830478.jpg,Christian Louboutin,Louis Junior Spikes sneakers,€ 669,,,P00830478,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47', 'EU_ 48 / EU 48']",Christian Louboutin's Louis Junior Spikes sneakers are Italian-made with blue suede uppers and feature spiked embellishments on the rounded toe. The lace-up style has a low-top silhouette and is set atop a rubber sole.,[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2d/P00830475.jpg,Christian Louboutin,Paqueboat canvas and leather loafers,€ 635,,,P00830475,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Christian Louboutin's Paqueboat loafers are inspired by the boat shoe silhouette. Made from beige canvas and leather, this style has a rounded toe and is set atop a comfy rubber sole.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/62/P00816373.jpg,Dolce&Gabbana,Leather Chelsea boots,€ 660,,,P00816373,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These Chelsea boots from Dolce&Gabbana are equal parts chic and sturdy. Made from brushed black leather, the style features elasticated inserts, a heel tab, and a chunky rubber sole for ultimate comfort.",[]
"['Men', 'Designers', 'JW Anderson', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3f/P00838096.jpg,JW Anderson,Plaque chain suede mules,€ 505,,,P00838096,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","With a distinctive silver-tone chained plaque on the uppers, these JW Anderson mules are made from beige shearling-trimmed suede with cork midsoles for a comfortable and lightweight step.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/71/P00830486.jpg,Christian Louboutin,Fun Louis Junior leather sneakers,€ 669,,,P00830486,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Christian Louboutin's Fun Louis Junior low-top sneakers are a chic addition to your off-duty rotation. Made from white leather with red grosgrain piping, the lace-up style has logo lettering at the heel and a rubber sole.",[]
"['Men', 'Designers', 'JW Anderson', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/67/P00838095.jpg,JW Anderson,Plaque chain suede mules,€ 505,,,P00838095,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","With a distinctive silver-tone chained plaque on the uppers, these JW Anderson mules are made from black shearling-trimmed suede with cork midsoles for a comfortable and lightweight step.",[]
